event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2019-11-19 08:35:46 UTC,view,30200005,2053013554449088861,,elari,77.2,512412397,f62be3c5-18af-4ab1-bdce-f1a1119a3df4
2019-11-26 14:16:08 UTC,view,1005115,2053013555631882655,electronics.smartphone,apple,916.37,568675496,c857db53-cd0a-480d-a93f-dd738be33126
2019-11-10 17:50:50 UTC,view,15700275,2053013559733912211,,imperial,206.16,513262731,c637d18a-6fc5-4c1c-9044-b537d1f9d8bb
2019-11-04 14:23:52 UTC,view,1004589,2053013555631882655,electronics.smartphone,inoi,61.36,562973725,e41d3c3f-830e-48df-97a5-ff1de86c3c5d
2019-11-29 17:11:17 UTC,purchase,5300157,2053013563173241677,,philips,37.56,560750791,0538a90a-6395-4134-b032-232e81b17397
2019-11-07 08:50:55 UTC,view,15100228,2053013557024391671,,,582.25,515831333,55033f6c-0275-4e25-be1a-7162c61962c2
2019-11-17 06:52:09 UTC,view,28100893,2053013564918072245,,,526.14,514593733,879b893f-feb2-43df-9475-48d4f8baad67
2019-11-23 18:37:40 UTC,view,26204320,2053013563693335403,,,232.44,537873067,c6c2d5a8-7dcd-4c55-b333-dc9ae7ff2c1b
2019-11-27 10:13:57 UTC,view,1005115,2053013555631882655,electronics.smartphone,apple,916.37,528050387,53eea8a1-9cdf-4ffe-8dc3-464aaf053052
2019-11-11 07:38:56 UTC,view,22600026,2165087460176953468,auto.accessories.compressor,,33.42,515200154,afaafccf-4ceb-4201-89c3-a0256d011804
2019-11-10 19:15:43 UTC,view,1005054,2053013555631882655,electronics.smartphone,tp-link,69.24,549377248,11ccc7df-5d85-499c-bd55-37e733135a79
2019-11-15 12:26:08 UTC,view,1004767,2053013555631882655,electronics.smartphone,samsung,243.49,569226043,15d0d0af-88e3-4fd9-bdb6-92aac38cb23a
2019-11-21 15:07:27 UTC,view,41200009,2089490106086851034,,artmusical,110.68,533984394,e3b90d3c-b559-4490-bd26-022f234c3da3
2019-11-17 10:34:22 UTC,cart,1005100,2053013555631882655,electronics.smartphone,samsung,136.71,536564855,b062fea8-70a9-4ca7-8601-bcf72370313e
2019-11-03 12:47:50 UTC,view,14400062,2053013558492398155,,xiaomi,43.5,541781365,40b07357-d69c-4fd1-9217-7a25a3448420
2019-11-10 11:31:16 UTC,view,28719522,2053013565782098913,apparel.shoes,respect,71.82,562125270,46d640c2-c272-465b-adff-f9e0bdeada77
2019-11-17 08:04:40 UTC,view,26300625,2053013563424899933,,,298.33,571303372,4c5a7976-c4ef-4c4e-9bad-a104bfc78401
2019-11-26 04:51:45 UTC,view,10700135,2053013561277416167,,sony,9.76,576862215,76d3031e-b294-489f-b370-4ec84673f34a
2019-11-29 17:02:26 UTC,view,19200027,2053013556202308035,construction.tools.saw,magnetta,80.35,579110062,dc87f0c8-d268-4eae-bfc9-69e5cc4a52c7
2019-11-15 15:57:03 UTC,view,1005246,2053013555631882655,electronics.smartphone,nokia,306.31,512482996,f49d64a1-16ac-46f0-9d5f-9059b2d57ce3
2019-11-09 19:31:02 UTC,view,1005165,2053013555631882655,electronics.smartphone,xiaomi,304.72,566498962,4cd1eac7-7635-4f2e-9efa-668ce79827b1
2019-11-16 12:26:18 UTC,view,1480787,2053013561092866779,computers.desktop,pulser,517.36,571949485,72afb2a8-944b-4f37-8ce7-b79509913377
2019-11-15 06:20:30 UTC,view,1004258,2053013555631882655,electronics.smartphone,apple,771.27,565519709,f2ab18d2-5759-402f-826c-b6d3bcb0e3f0
2019-11-15 03:52:46 UTC,cart,1005116,2053013555631882655,electronics.smartphone,apple,979.43,544701533,79378242-306f-4598-b59e-e3e0e262bb6a
2019-11-17 03:46:59 UTC,view,12300396,2053013556311359947,construction.tools.drill,,51.46,519271444,ce704d09-3a5d-4ea9-a955-2b27025b7cf4
2019-11-17 16:07:39 UTC,view,2601860,2053013563970159485,,artel,130.76,561279599,e06ffe80-177e-493b-9887-96d805caaa6f
2019-11-27 19:40:22 UTC,view,8200386,2053013555413778833,,polini,74.62,512742201,3d0335c0-1c48-4c38-8263-7d363e1e57db
2019-11-02 12:43:29 UTC,view,22700299,2053013556168753601,,aeroforce,158.31,559372283,eef00a34-b07d-406e-9892-2f771e79c701
2019-11-16 06:39:26 UTC,view,9100636,2053013552888807671,computers.peripherals.mouse,logitech,30.91,513300094,eb62394a-9254-42ec-8d35-fff6063eda4f
2019-11-17 12:10:28 UTC,view,1004768,2053013555631882655,electronics.smartphone,samsung,263.84,558786947,ecb3f781-3672-406f-a652-aaa755d239f7
2019-11-11 19:05:32 UTC,view,28718293,2053013565480109009,apparel.shoes.keds,tamaris,77.22,514279989,7af2886f-adb8-4ce9-90ee-2f76f4539890
2019-11-28 03:38:22 UTC,view,19100293,2053013556227473861,construction.tools.saw,dwt,220.96,537178970,05c1551f-def4-4448-8844-cd32312d5281
2019-11-13 08:18:27 UTC,view,21404397,2053013561579406073,electronics.clocks,,25.48,537508453,ae369341-998f-45e7-8e14-0f449aa62f2b
2019-11-24 12:20:23 UTC,view,1800930,2053013554415534427,electronics.video.tv,sony,333.32,545983418,1e932acb-08d5-4771-b5be-2540f2c231e8
2019-11-13 04:10:00 UTC,view,26015605,2053013562812531517,,,10.31,570822331,4139f35b-8a87-412a-b647-e36eb0fd60d1
2019-11-16 10:43:08 UTC,view,6201053,2053013552293216471,appliances.environment.air_heater,willmark,15.42,524357146,e7ff3c7a-8a17-4005-addc-12bb35eba4ee
2019-11-02 16:24:46 UTC,view,1004871,2053013555631882655,electronics.smartphone,samsung,272.08,537776786,2ac5cc52-1d17-48e1-b7ca-4208d661ac8c
2019-11-19 08:43:04 UTC,view,10301601,2053013553115300101,,,5.12,551728783,67e5d86f-d3a7-41f4-af23-f8d21a3b3108
2019-11-12 21:03:10 UTC,view,2200843,2053013560555995845,,nikon,746.22,515390373,75a560c6-82a5-45aa-9ccd-d2e342f20c66
2019-11-17 06:28:36 UTC,view,7006285,2053013560346280633,kids.carriage,,72.07,514770419,fe681dad-3c01-4de6-9a14-5a4262483418
2019-11-19 12:33:26 UTC,view,1307539,2053013558920217191,computers.notebook,asus,476.18,513757439,eebdf51b-3c98-45ac-b08b-3f50e720cb1c
2019-11-02 08:18:33 UTC,view,4100277,2053013561218695907,,sony,511.96,549093280,ee8dd117-fa84-47de-b3d3-5856f9f6ba43
2019-11-15 19:22:21 UTC,view,15900065,2053013558190408249,,rondell,30.86,552463878,6c02812c-ff36-4c56-84b2-915740db358b
2019-11-12 23:54:05 UTC,view,1307241,2053013558920217191,computers.notebook,hp,1055.11,570288058,ef50b309-9ea9-4dd1-aa06-98c5b43e504e
2019-11-11 13:27:23 UTC,view,12713023,2053013553559896355,,nitto,73.62,568166506,3a912cf6-8a83-4dac-8442-ad80d5f62849
2019-11-15 05:55:17 UTC,view,12700705,2053013553559896355,,matador,61.01,515771731,e7b4ef8e-5f5d-4d7f-a83b-5803fb8e9998
2019-11-23 20:14:37 UTC,view,4804055,2053013554658804075,electronics.audio.headphone,apple,203.51,517976821,74d1fe94-cf2d-43e6-8b95-8bd2875677e7
2019-11-15 07:32:51 UTC,view,1004767,2053013555631882655,electronics.smartphone,samsung,243.49,571695022,550ff750-228e-4af9-9f53-45461cadf989
2019-11-05 19:17:29 UTC,view,28705092,2053013565748544479,apparel.shoes,respect,42.21,546708831,dc2c1bb1-f649-4e89-ad30-ad3a589059ec
2019-11-10 15:35:44 UTC,view,7006570,2053013560346280633,kids.carriage,belecoo,92.35,516143223,2226b391-73a7-4915-8e68-84c340467e98
2019-11-18 16:24:14 UTC,view,22900088,2053013561780732677,furniture.bedroom.pillow,,10.3,541693569,a5d37ff8-3f70-4d44-84c7-270acc651389
